account_name,broker_name,exchange,symbol,company_name,isin,transaction_type,trade_date,quantity,price,charges,notes
Sesha,Demerger,NSE,ITCHOT,ITC HOTELS LIMITED,INE379A01028,BUY,2021-07-14,24,274.29,50.00,"Imported from broker transaction history (Demerger), segment Rolling, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,326,213.00,207.13,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,3,213.00,1.91,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,352,213.00,223.66,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,975,212.60,693.34,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,167,213.00,106.11,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,95,213.00,60.37,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,97,213.00,61.63,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,35,213.00,22.24,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,23,213.00,14.62,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2023-08-25,277,213.00,176.00,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2024-10-21,853,330.50,892.20,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2024-10-21,147,330.50,145.14,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2025-02-25,264,229.35,181.37,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BUY,2025-02-25,586,229.30,432.19,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,LANCON,LANCER CONTAINER LINES LIMITED,INE359U01028,BUY,2025-03-24,129,16.92,6.51,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,LANCON,LANCER CONTAINER LINES LIMITED,INE359U01028,BUY,2025-03-24,2871,16.92,152.93,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,BUY,2024-12-23,659,19.87,39.12,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,BUY,2024-12-23,1000,19.94,59.57,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,BUY,2024-12-23,2085,19.95,139.26,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,BUY,2024-12-23,216,19.88,12.83,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,BUY,2024-12-23,1040,19.80,61.51,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,RELIND,RELIANCE INDUSTRIES,INE002A01018,BUY,2026-07-08,50,1289.40,233.02,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,1,233.94,0.70,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,1,233.94,0.70,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,7,233.94,4.90,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,8,233.65,5.59,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,40,233.71,27.96,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,12,233.89,8.40,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,3,233.62,2.09,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,6,233.83,4.20,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,BUY,2024-09-04,1,233.00,0.70,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
